customer_id,campaign_id,channel,card_product,activation_date,home_state,age
ACQ000001,CMP00001,TV,Amex Cash Magnet,2025-01-05,PA,48
ACQ000002,CMP00001,TV,Amex Cash Magnet,2025-01-08,NJ,44
ACQ000003,CMP00001,TV,Amex Cash Magnet,2025-01-22,WI,64
ACQ000004,CMP00001,TV,Amex Cash Magnet,2025-01-08,NC,26
ACQ000005,CMP00001,TV,Amex Cash Magnet,2025-01-02,NJ,53
ACQ000006,CMP00002,In-App,Amex Cash Magnet,2025-01-10,IL,64
ACQ000007,CMP00002,In-App,Amex Cash Magnet,2025-01-18,OH,36
ACQ000008,CMP00002,In-App,Amex Cash Magnet,2025-01-21,NC,45
ACQ000009,CMP00002,In-App,Amex Cash Magnet,2025-01-07,WA,50
ACQ000010,CMP00002,In-App,Amex Cash Magnet,2025-01-14,AZ,50
ACQ000011,CMP00002,In-App,Amex Cash Magnet,2025-01-21,NC,63
ACQ000012,CMP00002,In-App,Amex Cash Magnet,2025-01-07,WA,60
ACQ000013,CMP00002,In-App,Amex Cash Magnet,2025-01-10,FL,33
ACQ000014,CMP00002,In-App,Amex Cash Magnet,2025-01-08,CA,43
ACQ000015,CMP00002,In-App,Amex Cash Magnet,2025-01-27,VA,22
ACQ000016,CMP00002,In-App,Amex Cash Magnet,2025-01-04,MD,58
ACQ000017,CMP00002,In-App,Amex Cash Magnet,2025-01-03,WA,59
ACQ000018,CMP00002,In-App,Amex Cash Magnet,2025-01-16,MA,36
ACQ000019,CMP00002,In-App,Amex Cash Magnet,2025-01-02,TN,30
ACQ000020,CMP00002,In-App,Amex Cash Magnet,2025-01-05,MI,33
ACQ000021,CMP00002,In-App,Amex Cash Magnet,2025-01-16,VA,21
ACQ000022,CMP00002,In-App,Amex Cash Magnet,2025-01-13,PA,29
ACQ000023,CMP00002,In-App,Amex Cash Magnet,2025-01-20,AZ,54
ACQ000024,CMP00002,In-App,Amex Cash Magnet,2025-01-28,CA,40
ACQ000025,CMP00002,In-App,Amex Cash Magnet,2025-01-08,AZ,46
ACQ000026,CMP00002,In-App,Amex Cash Magnet,2025-01-30,TN,36
ACQ000027,CMP00002,In-App,Amex Cash Magnet,2025-01-09,WI,58
ACQ000028,CMP00002,In-App,Amex Cash Magnet,2025-01-31,MA,22
ACQ000029,CMP00002,In-App,Amex Cash Magnet,2025-01-23,WI,25
ACQ000030,CMP00002,In-App,Amex Cash Magnet,2025-01-04,AZ,63
ACQ000031,CMP00002,In-App,Amex Cash Magnet,2025-01-08,IL,24
ACQ000032,CMP00002,In-App,Amex Cash Magnet,2025-01-17,MD,59
ACQ000033,CMP00002,In-App,Amex Cash Magnet,2025-01-19,MN,52
ACQ000034,CMP00002,In-App,Amex Cash Magnet,2025-01-17,NJ,30
ACQ000035,CMP00002,In-App,Amex Cash Magnet,2025-01-10,IL,43
ACQ000036,CMP00002,In-App,Amex Cash Magnet,2025-01-11,MI,61
ACQ000037,CMP00002,In-App,Amex Cash Magnet,2025-01-22,NY,25
ACQ000038,CMP00002,In-App,Amex Cash Magnet,2025-01-23,TX,32
ACQ000039,CMP00002,In-App,Amex Cash Magnet,2025-01-18,FL,64
ACQ000040,CMP00002,In-App,Amex Cash Magnet,2025-01-28,OH,44
ACQ000041,CMP00002,In-App,Amex Cash Magnet,2025-01-10,VA,24
ACQ000042,CMP00002,In-App,Amex Cash Magnet,2025-01-07,CA,58
ACQ000043,CMP00002,In-App,Amex Cash Magnet,2025-01-17,NC,64
ACQ000044,CMP00002,In-App,Amex Cash Magnet,2025-01-27,WA,31
ACQ000045,CMP00002,In-App,Amex Cash Magnet,2025-01-03,FL,35
ACQ000046,CMP00002,In-App,Amex Cash Magnet,2025-01-31,VA,55
ACQ000047,CMP00002,In-App,Amex Cash Magnet,2025-01-10,AZ,33
ACQ000048,CMP00002,In-App,Amex Cash Magnet,2025-01-24,OH,54
ACQ000049,CMP00002,In-App,Amex Cash Magnet,2025-01-15,TX,41
ACQ000050,CMP00002,In-App,Amex Cash Magnet,2025-01-28,GA,34
ACQ000051,CMP00002,In-App,Amex Cash Magnet,2025-01-18,CA,43
ACQ000052,CMP00002,In-App,Amex Cash Magnet,2025-01-21,TN,61
ACQ000053,CMP00002,In-App,Amex Cash Magnet,2025-01-22,PA,22
ACQ000054,CMP00002,In-App,Amex Cash Magnet,2025-01-24,VA,52
ACQ000055,CMP00002,In-App,Amex Cash Magnet,2025-01-17,PA,49
ACQ000056,CMP00002,In-App,Amex Cash Magnet,2025-01-27,NY,38
ACQ000057,CMP00002,In-App,Amex Cash Magnet,2025-01-23,CA,34
ACQ000058,CMP00002,In-App,Amex Cash Magnet,2025-01-23,MN,55
ACQ000059,CMP00002,In-App,Amex Cash Magnet,2025-01-21,FL,40
ACQ000060,CMP00002,In-App,Amex Cash Magnet,2025-01-14,OH,50
ACQ000061,CMP00002,In-App,Amex Cash Magnet,2025-01-31,VA,21
ACQ000062,CMP00002,In-App,Amex Cash Magnet,2025-01-31,VA,32
ACQ000063,CMP00002,In-App,Amex Cash Magnet,2025-01-21,NC,59
ACQ000064,CMP00002,In-App,Amex Cash Magnet,2025-01-02,WA,62
ACQ000065,CMP00002,In-App,Amex Cash Magnet,2025-01-25,PA,32
ACQ000066,CMP00002,In-App,Amex Cash Magnet,2025-01-31,TN,53
ACQ000067,CMP00002,In-App,Amex Cash Magnet,2025-01-30,AZ,34
ACQ000068,CMP00002,In-App,Amex Cash Magnet,2025-01-09,MD,56
ACQ000069,CMP00002,In-App,Amex Cash Magnet,2025-01-11,MA,44
ACQ000070,CMP00002,In-App,Amex Cash Magnet,2025-01-31,TX,36
ACQ000071,CMP00002,In-App,Amex Cash Magnet,2025-01-14,MN,32
ACQ000072,CMP00002,In-App,Amex Cash Magnet,2025-01-13,TN,63
ACQ000073,CMP00002,In-App,Amex Cash Magnet,2025-01-28,VA,57
ACQ000074,CMP00002,In-App,Amex Cash Magnet,2025-01-06,NY,48
ACQ000075,CMP00002,In-App,Amex Cash Magnet,2025-01-20,NY,63
ACQ000076,CMP00002,In-App,Amex Cash Magnet,2025-01-25,OH,27
ACQ000077,CMP00002,In-App,Amex Cash Magnet,2025-01-08,TN,54
ACQ000078,CMP00002,In-App,Amex Cash Magnet,2025-01-13,MD,39
ACQ000079,CMP00002,In-App,Amex Cash Magnet,2025-01-05,PA,36
ACQ000080,CMP00002,In-App,Amex Cash Magnet,2025-01-23,AZ,60
ACQ000081,CMP00002,In-App,Amex Cash Magnet,2025-01-22,MA,52
ACQ000082,CMP00002,In-App,Amex Cash Magnet,2025-01-26,OH,62
ACQ000083,CMP00002,In-App,Amex Cash Magnet,2025-01-08,NC,32
ACQ000084,CMP00002,In-App,Amex Cash Magnet,2025-01-15,WA,35
ACQ000085,CMP00002,In-App,Amex Cash Magnet,2025-01-17,CO,37
ACQ000086,CMP00002,In-App,Amex Cash Magnet,2025-01-03,TN,50
ACQ000087,CMP00002,In-App,Amex Cash Magnet,2025-01-08,CA,42
ACQ000088,CMP00002,In-App,Amex Cash Magnet,2025-01-20,MA,40
ACQ000089,CMP00002,In-App,Amex Cash Magnet,2025-01-25,IL,35
ACQ000090,CMP00002,In-App,Amex Cash Magnet,2025-01-07,WA,30
ACQ000091,CMP00002,In-App,Amex Cash Magnet,2025-01-14,CA,21
ACQ000092,CMP00002,In-App,Amex Cash Magnet,2025-01-26,WI,39
ACQ000093,CMP00002,In-App,Amex Cash Magnet,2025-01-20,MA,33
ACQ000094,CMP00002,In-App,Amex Cash Magnet,2025-01-17,GA,56
ACQ000095,CMP00002,In-App,Amex Cash Magnet,2025-01-27,CO,64
ACQ000096,CMP00002,In-App,Amex Cash Magnet,2025-01-03,NY,44
ACQ000097,CMP00002,In-App,Amex Cash Magnet,2025-01-31,IL,52
ACQ000098,CMP00002,In-App,Amex Cash Magnet,2025-01-12,MA,43
ACQ000099,CMP00002,In-App,Amex Cash Magnet,2025-01-14,WI,61
ACQ000100,CMP00002,In-App,Amex Cash Magnet,2025-01-16,MN,65
ACQ000101,CMP00002,In-App,Amex Cash Magnet,2025-01-04,NC,27
ACQ000102,CMP00002,In-App,Amex Cash Magnet,2025-01-13,NC,50
ACQ000103,CMP00002,In-App,Amex Cash Magnet,2025-01-27,FL,33
ACQ000104,CMP00002,In-App,Amex Cash Magnet,2025-01-21,NJ,25
ACQ000105,CMP00002,In-App,Amex Cash Magnet,2025-01-25,MI,36
ACQ000106,CMP00002,In-App,Amex Cash Magnet,2025-01-22,IL,30
ACQ000107,CMP00002,In-App,Amex Cash Magnet,2025-01-26,NC,27
ACQ000108,CMP00002,In-App,Amex Cash Magnet,2025-01-23,MN,39
ACQ000109,CMP00002,In-App,Amex Cash Magnet,2025-01-22,OH,53
ACQ000110,CMP00002,In-App,Amex Cash Magnet,2025-01-08,IL,52
ACQ000111,CMP00002,In-App,Amex Cash Magnet,2025-01-26,CO,34
ACQ000112,CMP00002,In-App,Amex Cash Magnet,2025-01-03,NJ,62
ACQ000113,CMP00002,In-App,Amex Cash Magnet,2025-01-18,VA,21
ACQ000114,CMP00002,In-App,Amex Cash Magnet,2025-01-08,IL,39
ACQ000115,CMP00002,In-App,Amex Cash Magnet,2025-01-03,NC,65
ACQ000116,CMP00002,In-App,Amex Cash Magnet,2025-01-28,AZ,24
ACQ000117,CMP00002,In-App,Amex Cash Magnet,2025-01-05,MN,62
ACQ000118,CMP00002,In-App,Amex Cash Magnet,2025-01-18,NY,35
ACQ000119,CMP00002,In-App,Amex Cash Magnet,2025-01-21,MA,52
ACQ000120,CMP00002,In-App,Amex Cash Magnet,2025-01-18,TN,56
ACQ000121,CMP00002,In-App,Amex Cash Magnet,2025-01-13,AZ,61
ACQ000122,CMP00002,In-App,Amex Cash Magnet,2025-01-02,VA,30
ACQ000123,CMP00002,In-App,Amex Cash Magnet,2025-01-13,WA,49
ACQ000124,CMP00002,In-App,Amex Cash Magnet,2025-01-22,MA,53
ACQ000125,CMP00002,In-App,Amex Cash Magnet,2025-01-20,GA,49
ACQ000126,CMP00002,In-App,Amex Cash Magnet,2025-01-27,GA,22
ACQ000127,CMP00002,In-App,Amex Cash Magnet,2025-01-29,MA,35
ACQ000128,CMP00002,In-App,Amex Cash Magnet,2025-01-26,WI,58
ACQ000129,CMP00002,In-App,Amex Cash Magnet,2025-01-25,TX,43
ACQ000130,CMP00002,In-App,Amex Cash Magnet,2025-01-17,IL,31
ACQ000131,CMP00002,In-App,Amex Cash Magnet,2025-01-02,NC,41
ACQ000132,CMP00002,In-App,Amex Cash Magnet,2025-01-24,NJ,40
ACQ000133,CMP00002,In-App,Amex Cash Magnet,2025-01-08,CA,50
ACQ000134,CMP00002,In-App,Amex Cash Magnet,2025-01-07,OH,30
ACQ000135,CMP00002,In-App,Amex Cash Magnet,2025-01-02,MN,31
ACQ000136,CMP00002,In-App,Amex Cash Magnet,2025-01-29,IL,35
ACQ000137,CMP00002,In-App,Amex Cash Magnet,2025-01-19,FL,31
ACQ000138,CMP00002,In-App,Amex Cash Magnet,2025-01-19,FL,61
ACQ000139,CMP00002,In-App,Amex Cash Magnet,2025-01-14,FL,28
ACQ000140,CMP00002,In-App,Amex Cash Magnet,2025-01-08,OH,55
ACQ000141,CMP00002,In-App,Amex Cash Magnet,2025-01-02,TX,36
ACQ000142,CMP00002,In-App,Amex Cash Magnet,2025-01-09,MN,57
ACQ000143,CMP00002,In-App,Amex Cash Magnet,2025-01-05,GA,34
ACQ000144,CMP00002,In-App,Amex Cash Magnet,2025-01-15,WI,54
ACQ000145,CMP00002,In-App,Amex Cash Magnet,2025-01-24,NY,46
ACQ000146,CMP00002,In-App,Amex Cash Magnet,2025-01-11,NJ,64
ACQ000147,CMP00002,In-App,Amex Cash Magnet,2025-01-13,AZ,23
ACQ000148,CMP00002,In-App,Amex Cash Magnet,2025-01-20,CO,23
ACQ000149,CMP00002,In-App,Amex Cash Magnet,2025-01-30,WA,58
ACQ000150,CMP00002,In-App,Amex Cash Magnet,2025-01-17,PA,23
ACQ000151,CMP00002,In-App,Amex Cash Magnet,2025-01-31,TX,37
ACQ000152,CMP00002,In-App,Amex Cash Magnet,2025-01-26,CO,37
ACQ000153,CMP00002,In-App,Amex Cash Magnet,2025-01-18,PA,39
ACQ000154,CMP00002,In-App,Amex Cash Magnet,2025-01-12,VA,63
ACQ000155,CMP00002,In-App,Amex Cash Magnet,2025-01-17,NC,45
ACQ000156,CMP00002,In-App,Amex Cash Magnet,2025-01-31,MI,24
ACQ000157,CMP00002,In-App,Amex Cash Magnet,2025-01-05,MI,58
ACQ000158,CMP00002,In-App,Amex Cash Magnet,2025-01-04,CO,41
ACQ000159,CMP00002,In-App,Amex Cash Magnet,2025-01-28,IL,30
ACQ000160,CMP00002,In-App,Amex Cash Magnet,2025-01-11,MI,45
ACQ000161,CMP00002,In-App,Amex Cash Magnet,2025-01-05,NC,63
ACQ000162,CMP00002,In-App,Amex Cash Magnet,2025-01-23,MA,35
ACQ000163,CMP00002,In-App,Amex Cash Magnet,2025-01-03,VA,48
ACQ000164,CMP00002,In-App,Amex Cash Magnet,2025-01-18,FL,61
ACQ000165,CMP00002,In-App,Amex Cash Magnet,2025-01-17,OH,56
ACQ000166,CMP00002,In-App,Amex Cash Magnet,2025-01-30,VA,33
ACQ000167,CMP00002,In-App,Amex Cash Magnet,2025-01-03,CO,61
ACQ000168,CMP00002,In-App,Amex Cash Magnet,2025-01-11,MN,42
ACQ000169,CMP00002,In-App,Amex Cash Magnet,2025-01-15,PA,22
ACQ000170,CMP00002,In-App,Amex Cash Magnet,2025-01-15,MD,33
ACQ000171,CMP00002,In-App,Amex Cash Magnet,2025-01-07,CA,34
ACQ000172,CMP00002,In-App,Amex Cash Magnet,2025-01-08,PA,42
ACQ000173,CMP00002,In-App,Amex Cash Magnet,2025-01-02,GA,62
ACQ000174,CMP00002,In-App,Amex Cash Magnet,2025-01-16,GA,43
ACQ000175,CMP00002,In-App,Amex Cash Magnet,2025-01-18,WA,33
ACQ000176,CMP00002,In-App,Amex Cash Magnet,2025-01-10,MN,32
ACQ000177,CMP00002,In-App,Amex Cash Magnet,2025-01-24,VA,51
ACQ000178,CMP00002,In-App,Amex Cash Magnet,2025-01-06,NJ,44
ACQ000179,CMP00002,In-App,Amex Cash Magnet,2025-01-30,IL,39
ACQ000180,CMP00002,In-App,Amex Cash Magnet,2025-01-23,TX,24
ACQ000181,CMP00002,In-App,Amex Cash Magnet,2025-01-09,MI,41
ACQ000182,CMP00002,In-App,Amex Cash Magnet,2025-01-19,WA,31
ACQ000183,CMP00002,In-App,Amex Cash Magnet,2025-01-25,WA,22
ACQ000184,CMP00002,In-App,Amex Cash Magnet,2025-01-22,WI,38
ACQ000185,CMP00002,In-App,Amex Cash Magnet,2025-01-31,NC,34
ACQ000186,CMP00002,In-App,Amex Cash Magnet,2025-01-27,MN,35
ACQ000187,CMP00002,In-App,Amex Cash Magnet,2025-01-27,FL,22
ACQ000188,CMP00002,In-App,Amex Cash Magnet,2025-01-30,OH,45
ACQ000189,CMP00002,In-App,Amex Cash Magnet,2025-01-08,CO,62
ACQ000190,CMP00002,In-App,Amex Cash Magnet,2025-01-24,MD,34
ACQ000191,CMP00002,In-App,Amex Cash Magnet,2025-01-07,AZ,45
ACQ000192,CMP00002,In-App,Amex Cash Magnet,2025-01-23,MI,29
ACQ000193,CMP00002,In-App,Amex Cash Magnet,2025-01-18,WA,24
ACQ000194,CMP00002,In-App,Amex Cash Magnet,2025-01-06,NY,26
ACQ000195,CMP00002,In-App,Amex Cash Magnet,2025-01-07,MA,28
ACQ000196,CMP00002,In-App,Amex Cash Magnet,2025-01-26,CO,24
ACQ000197,CMP00002,In-App,Amex Cash Magnet,2025-01-04,NJ,28
ACQ000198,CMP00002,In-App,Amex Cash Magnet,2025-01-07,MD,58
ACQ000199,CMP00002,In-App,Amex Cash Magnet,2025-01-11,MA,39
ACQ000200,CMP00002,In-App,Amex Cash Magnet,2025-01-15,WA,56
ACQ000201,CMP00002,In-App,Amex Cash Magnet,2025-01-05,NC,43
ACQ000202,CMP00002,In-App,Amex Cash Magnet,2025-01-02,AZ,37
ACQ000203,CMP00002,In-App,Amex Cash Magnet,2025-01-16,NJ,65
ACQ000204,CMP00002,In-App,Amex Cash Magnet,2025-01-10,VA,29
ACQ000205,CMP00002,In-App,Amex Cash Magnet,2025-01-18,VA,62
ACQ000206,CMP00002,In-App,Amex Cash Magnet,2025-01-31,VA,34
ACQ000207,CMP00002,In-App,Amex Cash Magnet,2025-01-22,PA,26
ACQ000208,CMP00002,In-App,Amex Cash Magnet,2025-01-10,PA,21
ACQ000209,CMP00002,In-App,Amex Cash Magnet,2025-01-12,CA,31
ACQ000210,CMP00002,In-App,Amex Cash Magnet,2025-01-27,VA,65
ACQ000211,CMP00002,In-App,Amex Cash Magnet,2025-01-08,MD,22
ACQ000212,CMP00002,In-App,Amex Cash Magnet,2025-01-03,NY,32
ACQ000213,CMP00002,In-App,Amex Cash Magnet,2025-01-12,WI,64
ACQ000214,CMP00002,In-App,Amex Cash Magnet,2025-01-19,GA,29
ACQ000215,CMP00002,In-App,Amex Cash Magnet,2025-01-29,NJ,60
ACQ000216,CMP00002,In-App,Amex Cash Magnet,2025-01-24,PA,59
ACQ000217,CMP00002,In-App,Amex Cash Magnet,2025-01-26,OH,27
ACQ000218,CMP00002,In-App,Amex Cash Magnet,2025-01-07,MI,47
ACQ000219,CMP00002,In-App,Amex Cash Magnet,2025-01-10,NJ,34
ACQ000220,CMP00002,In-App,Amex Cash Magnet,2025-01-25,WA,45
ACQ000221,CMP00002,In-App,Amex Cash Magnet,2025-01-27,MI,23
ACQ000222,CMP00002,In-App,Amex Cash Magnet,2025-01-09,MI,41
