campaign_id,impressions,clicks,applications,approvals,activations,budget_usd,cost_per_activation
CMP00001,38515,355,15,7,5,81100.0,16220.0
CMP00002,272285,21191,4725,2869,2477,58100.0,23.46
CMP00003,208453,4413,477,185,111,102200.0,920.72
CMP00004,291076,14457,2427,1356,1107,231600.0,209.21
CMP00005,216334,6980,1216,637,449,118800.0,264.59
CMP00006,194853,4550,564,390,354,42200.0,119.21
CMP00007,342731,17083,2404,1167,1051,207100.0,197.05
CMP00008,175934,13059,4649,2875,2722,52900.0,19.43
CMP00009,334760,2822,150,77,60,58900.0,981.67
CMP00010,192668,1754,80,38,26,198400.0,7630.77
CMP00011,107860,5535,1029,624,475,146400.0,308.21
CMP00012,323032,5316,592,262,202,223600.0,1106.93
CMP00013,300861,19301,4738,2599,2220,132800.0,59.82
CMP00014,88113,664,38,18,13,211000.0,16230.77
CMP00015,260981,9652,1836,1018,722,130500.0,180.75
CMP00016,165265,3520,497,268,225,89900.0,399.56
CMP00017,374113,6622,596,252,189,96800.0,512.17
CMP00018,276649,8688,2310,1529,1324,72800.0,54.98
CMP00019,37947,1752,281,142,117,103100.0,881.2
CMP00020,253610,1989,81,39,33,153800.0,4660.61
CMP00021,368373,3307,209,76,52,171700.0,3301.92
CMP00022,158057,3609,320,132,96,118200.0,1231.25
CMP00023,309068,23893,8064,4645,3717,211700.0,56.95
CMP00024,124930,3718,780,436,314,113600.0,361.78
CMP00025,63878,380,19,9,6,166700.0,27783.33
CMP00026,143104,2326,270,96,68,74300.0,1092.65
CMP00027,53567,1816,344,199,174,238900.0,1372.99
CMP00028,124215,7971,2771,1620,1301,156300.0,120.14
CMP00029,275652,7050,730,479,440,47600.0,108.18
CMP00030,302630,5785,623,249,175,176000.0,1005.71
CMP00031,385504,22877,6651,3958,3119,166300.0,53.32
CMP00032,378877,24203,5412,3422,2778,46400.0,16.7
CMP00033,69174,564,26,13,8,20900.0,2612.5
CMP00034,214056,15191,4885,3546,2858,218800.0,76.56
CMP00035,170381,7412,2400,1458,1183,108100.0,91.38
CMP00036,156546,3944,464,291,250,58200.0,232.8
CMP00037,21151,471,50,21,15,156900.0,10460.0
CMP00038,213303,10840,3427,1829,1507,106100.0,70.4
CMP00039,55459,4364,1487,1000,832,215800.0,259.38
CMP00040,212825,8724,2100,1381,1156,190300.0,164.62
CMP00041,397451,3191,148,64,54,185600.0,3437.04
CMP00042,136642,9961,3182,2020,1836,130200.0,70.92
CMP00043,363929,10872,1189,663,582,134400.0,230.93
CMP00044,184035,6014,747,477,368,179400.0,487.5
CMP00045,53306,2456,353,171,146,244600.0,1675.34
CMP00046,263355,12445,2408,1552,1300,248400.0,191.08
CMP00047,145767,12545,4286,2944,2478,32200.0,12.99
CMP00048,181642,5103,680,472,389,174800.0,449.36
CMP00049,164066,5991,722,385,353,220800.0,625.5
CMP00050,192481,4410,355,181,126,170500.0,1353.17
CMP00051,158146,3256,246,108,74,153500.0,2074.32
CMP00052,165766,6342,1547,904,794,202400.0,254.91
CMP00053,146653,1415,77,37,27,68500.0,2537.04
CMP00054,145086,4550,749,430,319,130600.0,409.4
CMP00055,26006,841,167,95,78,186800.0,2394.87
CMP00056,66207,1223,119,52,34,105700.0,3108.82
CMP00057,126287,8569,2517,1306,1241,247500.0,199.44
CMP00058,287213,7264,686,290,192,88300.0,459.9
CMP00059,378763,13549,3048,1781,1506,145000.0,96.28
CMP00060,64287,2038,248,180,121,236700.0,1956.2
