customer_id,true_persona,travel,dining,grocery,online_shopping,gas,entertainment,utilities_bills
ACQ000001,Dining Enthusiast,135.12,578.95,209.82,281.25,127.29,196.59,169.04
ACQ000002,Balanced Spender,141.02,141.73,129.87,140.53,134.4,151.87,145.1
ACQ000003,Everyday Essentials,87.59,170.67,489.14,162.56,349.4,82.23,324.14
ACQ000004,Everyday Essentials,64.77,134.02,405.57,126.39,259.89,67.32,253.46
ACQ000005,Everyday Essentials,82.75,159.13,449.97,162.87,311.2,85.16,313.32
ACQ000006,Frequent Traveler,309.99,137.56,67.81,101.41,40.44,82.89,128.6
ACQ000007,Balanced Spender,168.77,162.88,147.24,163.25,148.06,179.34,174.31
ACQ000008,Online Shopper,47.95,87.83,96.47,406.68,45.0,139.36,85.88
ACQ000009,Balanced Spender,224.18,227.43,233.1,216.52,217.78,255.26,254.04
ACQ000010,Frequent Traveler,419.68,201.83,109.97,151.6,68.68,129.25,192.58
ACQ000011,Dining Enthusiast,114.25,568.26,173.38,190.58,112.64,175.1,141.32
ACQ000012,Dining Enthusiast,94.1,364.5,128.13,164.54,90.33,121.92,99.41
ACQ000013,Online Shopper,63.45,137.23,131.5,618.96,64.19,210.27,135.58
ACQ000014,Frequent Traveler,612.74,268.8,142.15,212.32,80.86,177.61,260.76
ACQ000015,Online Shopper,78.04,154.6,149.66,703.45,82.32,235.74,153.36
ACQ000016,Balanced Spender,182.02,190.14,174.79,181.0,177.55,179.62,201.1
ACQ000017,Dining Enthusiast,131.37,541.25,187.04,242.82,136.77,187.86,172.4
ACQ000018,Frequent Traveler,345.39,125.75,73.48,113.59,45.6,97.19,141.03
ACQ000019,Frequent Traveler,412.18,170.16,83.72,140.07,54.28,119.27,173.9
ACQ000020,Online Shopper,35.98,64.11,57.32,315.06,32.28,100.0,67.42
ACQ000021,Everyday Essentials,84.41,168.15,552.31,167.61,321.71,85.44,350.01
ACQ000022,Frequent Traveler,442.39,179.26,94.53,149.85,61.57,127.08,172.13
ACQ000023,Online Shopper,35.52,60.78,67.96,303.65,31.02,96.37,62.83
ACQ000024,Everyday Essentials,69.69,141.39,405.11,136.55,260.92,69.97,279.11
ACQ000025,Balanced Spender,147.15,141.54,156.4,141.99,144.94,153.38,161.66
ACQ000026,Frequent Traveler,342.08,137.47,76.45,114.04,51.19,109.45,159.32
ACQ000027,Frequent Traveler,627.63,267.2,129.18,194.86,77.86,173.81,251.15
ACQ000028,Online Shopper,73.01,156.85,152.69,720.81,75.64,222.57,152.95
ACQ000029,Everyday Essentials,32.48,68.08,192.73,63.82,131.29,30.62,127.02
ACQ000030,Everyday Essentials,76.45,140.84,465.57,143.07,291.25,75.57,296.37
ACQ000031,Everyday Essentials,35.05,68.77,226.52,71.07,146.96,38.45,147.64
ACQ000032,Balanced Spender,138.27,134.26,143.04,158.7,135.57,141.39,149.36
ACQ000033,Everyday Essentials,39.51,73.48,222.28,74.27,150.31,35.53,139.74
ACQ000034,Balanced Spender,235.59,257.87,216.34,232.9,232.77,247.27,254.53
ACQ000035,Balanced Spender,200.73,216.07,199.3,192.92,205.59,229.01,254.34
ACQ000036,Dining Enthusiast,79.92,382.55,111.74,158.26,86.49,120.71,105.57
ACQ000037,Online Shopper,58.66,116.16,118.04,554.45,54.06,191.23,117.74
ACQ000038,Dining Enthusiast,53.21,253.51,83.09,116.0,51.75,81.36,66.9
ACQ000039,Everyday Essentials,95.8,172.63,499.52,156.73,330.59,89.66,343.54
ACQ000040,Balanced Spender,259.25,225.25,242.57,226.41,241.56,251.03,254.41
ACQ000041,Frequent Traveler,295.74,146.61,72.1,109.19,45.31,90.88,148.77
ACQ000042,Everyday Essentials,70.71,135.41,380.86,135.08,261.94,59.18,258.92
ACQ000043,Online Shopper,73.13,139.76,142.48,684.41,76.4,197.14,148.06
ACQ000044,Online Shopper,60.91,123.36,117.72,550.52,53.97,178.08,125.32
ACQ000045,Online Shopper,38.82,80.83,79.85,376.95,43.86,121.58,91.33
ACQ000046,Frequent Traveler,303.24,139.51,73.32,100.66,42.48,89.41,126.3
ACQ000047,Everyday Essentials,31.83,67.67,190.14,68.14,133.96,35.24,144.56
ACQ000048,Dining Enthusiast,72.52,341.38,123.83,168.91,79.69,120.5,96.33
ACQ000049,Frequent Traveler,235.65,88.29,49.3,75.22,28.01,55.73,84.03
ACQ000050,Online Shopper,73.38,152.42,140.91,722.84,70.7,223.41,145.13
ACQ000051,Frequent Traveler,549.81,244.27,132.09,185.08,82.6,157.5,261.24
ACQ000052,Everyday Essentials,31.29,62.5,189.51,67.64,141.69,31.14,137.14
ACQ000053,Dining Enthusiast,115.81,479.05,173.26,215.47,108.75,150.08,140.3
ACQ000054,Online Shopper,64.26,132.24,134.91,652.03,64.61,207.28,133.18
ACQ000055,Everyday Essentials,33.61,65.72,192.57,61.96,141.18,35.49,132.75
ACQ000056,Dining Enthusiast,134.0,566.5,192.57,231.2,124.06,200.27,164.83
ACQ000057,Online Shopper,37.73,79.77,78.14,321.15,40.97,114.23,84.39
ACQ000058,Balanced Spender,127.58,118.79,137.34,144.95,131.53,144.19,158.27
ACQ000059,Everyday Essentials,84.35,166.64,469.91,155.21,300.23,76.01,319.42
