redemption_id,customer_id,campaign_id,offer_type,redemption_date,redemption_value_usd
RDM000001,ACQ000001,CMP00001,0% APR Intro,2025-01-22,185.9
RDM000002,ACQ000002,CMP00001,0% APR Intro,2025-02-14,165.47
RDM000003,ACQ000005,CMP00001,0% APR Intro,2025-02-02,282.6
RDM000004,ACQ000010,CMP00002,Dining Rewards Boost,2025-03-11,291.85
RDM000005,ACQ000011,CMP00002,Dining Rewards Boost,2025-02-06,79.9
RDM000006,ACQ000012,CMP00002,Dining Rewards Boost,2025-02-23,150.79
RDM000007,ACQ000013,CMP00002,Dining Rewards Boost,2025-01-15,287.9
RDM000008,ACQ000017,CMP00002,Dining Rewards Boost,2025-03-03,251.94
RDM000009,ACQ000019,CMP00002,Dining Rewards Boost,2025-02-19,215.01
RDM000010,ACQ000020,CMP00002,Dining Rewards Boost,2025-02-18,283.56
RDM000011,ACQ000022,CMP00002,Dining Rewards Boost,2025-01-14,204.43
RDM000012,ACQ000023,CMP00002,Dining Rewards Boost,2025-02-26,56.24
RDM000013,ACQ000024,CMP00002,Dining Rewards Boost,2025-02-21,64.48
RDM000014,ACQ000025,CMP00002,Dining Rewards Boost,2025-01-19,143.64
RDM000015,ACQ000026,CMP00002,Dining Rewards Boost,2025-03-26,118.52
RDM000016,ACQ000028,CMP00002,Dining Rewards Boost,2025-02-16,135.64
RDM000017,ACQ000030,CMP00002,Dining Rewards Boost,2025-02-08,255.95
RDM000018,ACQ000031,CMP00002,Dining Rewards Boost,2025-01-17,165.76
RDM000019,ACQ000032,CMP00002,Dining Rewards Boost,2025-03-18,261.96
RDM000020,ACQ000035,CMP00002,Dining Rewards Boost,2025-02-24,57.68
RDM000021,ACQ000036,CMP00002,Dining Rewards Boost,2025-02-26,162.57
RDM000022,ACQ000041,CMP00002,Dining Rewards Boost,2025-03-09,272.79
RDM000023,ACQ000042,CMP00002,Dining Rewards Boost,2025-03-01,225.29
RDM000024,ACQ000043,CMP00002,Dining Rewards Boost,2025-02-09,189.13
RDM000025,ACQ000044,CMP00002,Dining Rewards Boost,2025-02-15,118.84
RDM000026,ACQ000045,CMP00002,Dining Rewards Boost,2025-01-04,158.6
